dong,price,areaType,floor,dir
107동,13억 7,000,82A/59m²,1/27층,남서향
108동,13억 9,000~14억,83B/59m²,중/25층,남서향
108동,13억 9,000,83B/59m²,중/25층,남동향
110동,13억 9,000,82A/59m²,중/36층,남서향
112동,13억 9,000~14억,82A/59m²,고/30층,남서향
107동,14억,83B/59m²,중/27층,남동향
107동,14억,83B/59m²,중/27층,남서향
107동,14억,82A/59m²,중/27층,남서향
101동,14억 2,000,82A/59m²,중/30층,남동향
112동,14억 2,000,83B/59m²,중/30층,남향
102동,14억 2,000,82A/59m²,저/28층,남서향
107동,14억 3,000,83B/59m²,중/27층,남동향
103동,14억 3,000,82A/59m²,고/26층,남동향
112동,14억 5,000,83B/59m²,저/30층,남향
110동,14억 8,000,83B/59m²,27/36층,남서향
110동,14억 9,000,82A/59m²,중/36층,남서향
103동,14억 7,000,83B/59m²,저/26층,남동향
107동,15억 5,000,82A/59m²,중/27층,남서향
